id,slug,title,youtube_url,youtube_video_id,youtube_status,product,difficulty,short_description,duration_seconds,published_at,playlist,source_notes,enrichment_status
cat-001,how-to-download-and-install-altium-2022-altium-designer,How to download and Install Altium 2022 - Altium Designer,https://www.youtube.com/watch?v=MctyE99XnPA,MctyE99XnPA,id_present,Altium Designer,Beginner,Educational Engineering Team tutorial: How to download and Install Altium 2022 - Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#1; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-002,design-motion-sensor-with-esp32-using-altium-designer,Design Motion Sensor with ESP32 using Altium designer,https://www.youtube.com/watch?v=QYD8xXVN5kQ,QYD8xXVN5kQ,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: Design Motion Sensor with ESP32 using Altium designer,0,,,Source: MD channel Altium search dump via parse_report; list#2; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-003,adding-the-new-library-file-to-your-design-altium-designer,Adding the new Library File to your Design - Altium Designer,https://www.youtube.com/watch?v=YWJnMMk4J8c,YWJnMMk4J8c,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: Adding the new Library File to your Design - Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#3; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-004,design-and-create-any-custom-component-in-altium-designer,User Interface Altium Designer,https://www.youtube.com/watch?v=NSaBu7wJqUE,NSaBu7wJqUE,id_present,Altium Designer,Intermediate,Educational Engineering Team YouTube tutorial: User Interface Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#4; batch 1–50; channel=Educational Engineering Team Title aligned to YouTube oEmbed audit (CSV sync).,url_recovered
cat-005,pcb-design-make-arduino-nano-using-altium-designer,Introduction To Altium Designer,https://www.youtube.com/watch?v=Uvuxwma19zo,Uvuxwma19zo,id_present,Altium Designer,Intermediate,Educational Engineering Team YouTube tutorial: Introduction To Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#5; batch 1–50; channel=Educational Engineering Team Title aligned to YouTube oEmbed audit (CSV sync).,url_recovered
cat-006,usb-lamp-using-altium-designer,USB Lamp using Altium Designer,https://www.youtube.com/watch?v=4hOH0lxFpJc,4hOH0lxFpJc,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: USB Lamp using Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#6; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-007,arduino-uno-r4-pcb-layout-step-by-step-in-altium-designer,Arduino UNO R4 PCB Layout Step by Step in Altium Designer,https://www.youtube.com/watch?v=qM0GwF1WdgE,qM0GwF1WdgE,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: Arduino UNO R4 PCB Layout Step by Step in Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#7; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-008,thief-door-alarm-using-transistor-using-altium-designer,Thief Door Alarm Using Transistor using Altium Designer,https://www.youtube.com/watch?v=WLs8QpxUcM4,WLs8QpxUcM4,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: Thief Door Alarm Using Transistor using Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#8; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-009,working-with-active-route-altium-designer,Working with active route-Altium Designer,https://www.youtube.com/watch?v=CdhZ_kOs-BE,CdhZ_kOs-BE,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: Working with active route-Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#9; batch 1–50; channel=Educational Engineering Team,url_recovered
cat-010,led-flasher-using-altium-designer,LED Flasher using Altium Designer,https://www.youtube.com/watch?v=H1lNbB7ICTs,H1lNbB7ICTs,id_present,Altium Designer,Intermediate,Educational Engineering Team tutorial: LED Flasher using Altium Designer,0,,,Source: MD channel Altium search dump via parse_report; list#10; batch 1–50; channel=Educational Engineering Team,url_recovered
